2020-05-22 18:45:05,815 [AUDIT] Token created by 'anonymous': tokenId='7e3dfbbf-1094-4967-852e-33134d1c6524', issuer='jfrou@01e8yv7km6r0cgmtkp8g2q90x1', subject='jfrou@01e8yv7km6r0cgmtkp8g2q90x1', expiry=none, refreshable=false
2020-05-22 18:45:10,003 [AUDIT] Token created by 'anonymous': tokenId='9a8543f8-e7c7-430a-8f67-fe223d7a2946', issuer='jfac@01e8yv7aamj41c01yxe0ar1jef', subject='jfac@01e8yv7aamj41c01yxe0ar1jef', expiry=1590173229987, refreshable=false
2020-05-22 18:45:10,196 [AUDIT] Token created by 'anonymous': tokenId='6d6b4842-ecea-4a52-83fd-bd801b91adc5', issuer='jfac@01e8yv7aamj41c01yxe0ar1jef', subject='jfac@01e8yv7aamj41c01yxe0ar1jef', expiry=1590173230188, refreshable=false
2020-05-22 18:45:10,440 [AUDIT] Token created by 'anonymous': tokenId='8a582ccb-52eb-44ca-bda8-d655cf41ad06', issuer='jfac@01e8yv7aamj41c01yxe0ar1jef', subject='jfac@01e8yv7aamj41c01yxe0ar1jef', expiry=1590173230433, refreshable=false
2020-05-22 18:45:10,885 [AUDIT] Token created by 'anonymous': tokenId='bb386163-153e-4d37-8c25-cdbbe8e48e15', issuer='jfmd@01e8yv7mndxrnmd1h5qa49rj3r', subject='jfmd@01e8yv7mndxrnmd1h5qa49rj3r', expiry=none, refreshable=false
2020-05-22 18:45:10,889 [AUDIT] Token created by 'anonymous': tokenId='97ba01d5-25a7-48a1-b16e-036a3260be39', issuer='jfac@01e8yv7aamj41c01yxe0ar1jef', subject='jfac@01e8yv7aamj41c01yxe0ar1jef', expiry=1590173230878, refreshable=false
2020-05-22 18:45:17,416 [AUDIT] Token created by 'anonymous': tokenId='31f4b9a6-4afe-432b-808a-206cb3d51a8a', issuer='jfrt@01e8yv89r4pzvf1bczbr7t0mkz', subject='jfrt@01e8yv89r4pzvf1bczbr7t0mkz', expiry=none, refreshable=false
2020-05-22 18:45:21,803 [AUDIT] Token created by 'jfrt@01e8yv89r4pzvf1bczbr7t0mkz': tokenId='005c3d6d-5e25-4622-a9eb-6cb20605db81', issuer='jfrt@01e8yv89r4pzvf1bczbr7t0mkz', subject='jfrt@01e8yv89r4pzvf1bczbr7t0mkz', expiry=2536253121800, refreshable=false
2020-05-22 18:45:31,652 [AUDIT] Token created by 'anonymous': tokenId='d668c689-882b-4516-8045-3c7f12b246ad', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-05-22 18:45:31,783 [AUDIT] Token created by 'jffe@000': tokenId='096a7a1f-4e0b-48af-bcd2-73e70c39027f', issuer='jffe@000', subject='jffe@000', expiry=1590173731767, refreshable=false
2020-05-22 18:45:46,461 [AUDIT] Token created by 'jffe@000': tokenId='34e19077-1f45-4619-8dbe-e01de98a4e2a', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1590173746451, refreshable=false
2020-05-22 18:49:17,420 [AUDIT] Token created by 'jffe@000': tokenId='561163c7-4ddd-4236-8baf-83e579a6bca5', issuer='jffe@000', subject='admin', expiry=1590175157416, refreshable=true
2020-05-22 18:49:17,762 [AUDIT] Token created by 'jffe@000': tokenId='38914650-515a-40d6-bd42-6d8aea16b895', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1590173957755, refreshable=false
2020-05-22 18:49:17,784 [AUDIT] Token created by 'jffe@000': tokenId='3c667566-477f-4afe-94aa-701b41fe62a6', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1590173957779, refreshable=false
2020-05-22 18:49:18,745 [AUDIT] Token created by 'jffe@000': tokenId='d2b6e622-3c32-4a0c-9078-b75f24f1ae49', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1590173958743, refreshable=false
2020-05-22 18:55:34,722 [AUDIT] Token created by 'jffe@000': tokenId='8143eef3-71a0-47b4-9350-8041345f162c', issuer='jffe@000', subject='jffe@000', expiry=1590174334717, refreshable=false
2020-05-22 18:55:34,723 [AUDIT] Token created by 'jffe@000': tokenId='09a5dd62-9596-4fd1-b475-6e7872a89422', issuer='jffe@000', subject='jffe@000', expiry=1590174334717, refreshable=false
2020-05-22 18:55:34,724 [AUDIT] Token created by 'jffe@000': tokenId='119b50c5-92c1-4b0b-978b-6c46ad457db1', issuer='jffe@000', subject='jffe@000', expiry=1590174334719, refreshable=false
2020-05-22 18:55:34,723 [AUDIT] Token created by 'jffe@000': tokenId='baa407b3-afa8-475b-8c1f-fa65f26fe52c', issuer='jffe@000', subject='jffe@000', expiry=1590174334719, refreshable=false
2020-05-22 18:59:17,709 [AUDIT] Token created by 'jffe@000': tokenId='7b65d544-0483-4257-adf7-d8798b7d2e57', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1590174557704, refreshable=false
2020-05-22 19:05:34,756 [AUDIT] Token created by 'jffe@000': tokenId='b875ab74-81c5-424c-a74a-1947dda84dd6', issuer='jffe@000', subject='jffe@000', expiry=1590174934754, refreshable=false
2020-05-22 19:05:34,759 [AUDIT] Token created by 'jffe@000': tokenId='03dd8082-3964-46fe-b67a-c80196e9c848', issuer='jffe@000', subject='jffe@000', expiry=1590174934754, refreshable=false
2020-05-22 19:05:34,760 [AUDIT] Token created by 'jffe@000': tokenId='86fc30a6-7b69-4199-bfd1-339822a8529e', issuer='jffe@000', subject='jffe@000', expiry=1590174934756, refreshable=false
