2020-05-22T18:45:46.628Z|726521bab28e0ce0|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|198.605|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:02.761Z|429e2c8864bfd147|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/footer|200|160|-|390.047|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:02.896Z|432afb43b03b4993|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|402.712|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:02.919Z|4337a2f4b4b7007e|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|505.324|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:02.991Z|2b0f0f3aaeaeb520|::ffff:127.0.0.1|anonymous|GET|/api/v1/system/status/nodes|200|425|-|28.042|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:03.367Z|2935e93ba65178a5|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|401|12|-|351.667|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:03.426Z|563e7ccbad70667 |::ffff:127.0.0.1|anonymous|GET|/api/v1/auth/issaml|200|5|-|15.279|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:03.498Z|dd16eef0419d367 |::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/logout|200|0|0|37.914|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:03.594Z|60c43135f7a78f70|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|76.412|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:04.235Z|179dcf93c916757a|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|21.961|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:04.327Z|a90d514817a9e34 |::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/oauth2/loginRequestPlatform|404|74|-|101.756|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:06.003Z|6889517a6ba38128|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/treebrowser/repoOrder|401|12|-|4.954|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:06.117Z|2cdb1b5efd4d9722|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/current|200|477|-|71.583|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:11.467Z|3cd5e2920c6651a6|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|29.113|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:46:36.498Z|6104d3e05e028b3d|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|58.036|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:47:01.455Z|56324f50dec92130|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|14.759|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:47:26.453Z|1c997d460a5623ea|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|14.583|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:47:51.508Z|401fe1099627755 |::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|62.297|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:48:16.453Z|43c2abd179fb330a|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|9.858|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:48:41.477Z|4369aa8136f80eb5|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|14.487|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:06.523Z|6961123196a35159|::ffff:127.0.0.1|anonymous|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|57.685|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:17.468Z|5cc60c4031a0a060|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/login?_spring_security_remember_me=false|200|423|53|344.359|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:17.887Z|5a6570d4deb890a9|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|395|-|140.658|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:17.960Z|2a2dc0308a995064|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|177|-|227.747|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:18.141Z|65e0b47eb7637231|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/footer|200|777|-|34.329|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:18.151Z|6f38895c5f96287b|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/current|200|449|-|34.502|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:18.162Z|373b0843ee177e92|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|17.321|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:18.354Z|5b5c516e418e8133|::ffff:127.0.0.1|anonymous|GET|/api/v1/system/status/nodes|200|425|-|24.472|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:18.390Z|39acfe59ab722c5d|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|177|-|69.704|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:18.462Z|7a148f1f462cd9bf|::ffff:127.0.0.1|admin|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|200|-|-|34.246|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:18.519Z|4c5fa38f8f75c4fd|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?packageSearch=true|200|20|-|27.967|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:18.787Z|3c6a0fa3a46a3f3 |::ffff:127.0.0.1|admin|GET|/api/v1/ui/home/widget/artifactCount|200|69|-|108.107|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:18.801Z|64cca11bf735a000|::ffff:127.0.0.1|admin|POST|/api/v1/mds/packages?jfLoader=true|200|42|242|72.243|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:31.483Z|51bfc6e50d9d6f06|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|395|-|15.431|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:42.678Z|21e6524f66fad75c|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|395|-|28.705|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:44.506Z|1b23372fbba5b0ce|::ffff:127.0.0.1|admin|POST|/api/v1/ui/onboarding/changePassword?jfLoader=true|200|49|99|523.914|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:44.669Z|3ced3fd0b174cdbf|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|178|-|144.194|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:44.688Z|161d5f284d62405b|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|150.484|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:44.834Z|4dc531309209bcb9|::ffff:127.0.0.1|admin|GET|/api/v1/ui/generalConfig|200|759|-|49.265|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:47.126Z|3a88dd2765090b5c|::ffff:127.0.0.1|admin|GET|/api/v1/ui/proxies?jfLoader=true|200|2|-|29.046|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:48.910Z|4596bc7755a0511e|::ffff:127.0.0.1|admin|GET|/api/v1/ui/generalConfig|200|759|-|23.468|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:49.684Z|2ece6044a7351c04|::ffff:127.0.0.1|admin|GET|/api/v1/ui/proxies?jfLoader=true|200|2|-|20.660|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:51.257Z|e11ac985fd6b51c |::ffff:127.0.0.1|admin|GET|/api/v1/ui/onboarding/reposStates|200|585|-|53.590|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:56.119Z|642ace765364a1c3|::ffff:127.0.0.1|admin|POST|/api/v1/ui/onboarding/createDefaultRepos|201|221|48|619.081|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:56.482Z|3e5184ddf854ff6e|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|13.722|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.120Z|7f28eba4518b0230|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/footer|200|777|-|21.145|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.148Z|6a55ed437db10cab|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|39.573|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.150Z|7f15d0109afb62a0|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/current|200|449|-|43.994|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.246Z|7e21e1d5a7c8b593|::ffff:127.0.0.1|anonymous|GET|/api/v1/system/status/nodes|200|425|-|15.226|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.279Z|66cc675b0377729e|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|179|-|56.464|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.320Z|3b948ebd80d1a95f|::ffff:127.0.0.1|admin|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|200|-|-|32.219|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:49:58.365Z|60613be92211273d|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?packageSearch=true|200|430|-|34.449|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:50:07.686Z|656e78c86124a451|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|35.084|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:50:21.510Z|77b52a0124e6383a|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|36.127|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:50:32.704Z|2ce183a16120e580|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|53.063|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:50:46.490Z|1897b2ff549b6b42|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|16.988|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:50:57.683Z|2a2acc31796d2d8c|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|30.037|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-22T18:51:11.486Z|7de29ea6378309c7|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|16.263|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
